yard_id,slug,cohort,reasons
2491,cash-4-junkers,flagged-similar,"comparative:most"
5729,macon-iron,flagged-similar,"comparative:most"
7052,best-american,flagged-similar,"comparative:most,best"
6844,lonestar-metal,flagged-similar,"comparative:most"
5088,scrap-assets,flagged-similar,"comparative:most,best"
7052,best-american,flagged-similar,"comparative:most,best"
7052,best-american,flagged-similar,"comparative:best"
5904,scrap-smart,sparse-data,"comparative:most,best"
7052,best-american,flagged-similar,"comparative:best"
6784,reuse-recycling-center,top-state-TX,"comparative:most,best"
6749,wilkinson-gary-iron-metal-inc,top-state-TX,"comparative:most"
7052,best-american,flagged-similar,"comparative:best"
6214,caracciolo-charles-steel-metal-yd,top-state-PA,"comparative:most"
2622,albert-sanft,top-state-PA,"name_repeated:3x | time_period:since"
7241,recycling-of-south-dade-inc,top-state-FL,"comparative:best"
7052,best-american,flagged-similar,"comparative:most,best"
