yard_id,slug,reason
178,heberts-recycling-services,"wrong_county:Baton Rouge Parish_vs_East Baton Rouge Parish"
186,trash-rolloff-of-bay-county-inc,"wrong_county:Rolloff Of Bay_vs_Bay"
226,nott-recycling,"wrong_county:Richmond_vs_City of Richmond"
271,atm-recycling,"word_count_out_of_range:146"
390,midland-davis-corp,"word_count_out_of_range:149"
393,atm-recycling,"word_count_out_of_range:147"
425,gopher,"word_count_out_of_range:148"
718,bmg-metals,"wrong_county:Richmond_vs_City of Richmond"
1003,sadoff-iron-metal-company,"wrong_county:Lac_vs_Fond du Lac"
1636,east-side-plating,"region:east side"
1662,awards-unlimited,"wrong_county:San Francisco_vs_City and County of San Francisco"
1788,chucks-west-side-recyclers,"region:west side"
1923,autorecycling-and-scrap-metal-removal,"region:metropolitan"
1932,l-m-salvage-of-richland-county-inc,"wrong_county:Salvage Of Richland_vs_Richland"
2017,bi-county-auto-truck-and-salvage,"wrong_county:Bi_vs_Suffolk"
2248,remac-america-inc,"word_count_out_of_range:148"
2410,south-side-scrap,"region:south side"
2959,west-side-iron-metal-inc,"region:west side"
2994,certified-recycling-waste-solutions,"banned_phrase:\bcertified\b"
3039,scrap-yard,"wrong_county:Borough_vs_Sitka City and Borough"
3223,western-recycling,"word_count_out_of_range:149"
3384,carpenters-metal-recycling-inc,"word_count_out_of_range:149"
3580,enviro-vision-recyceling,"word_count_out_of_range:149"
3677,ada-scrap-works,"word_count_out_of_range:149"
3695,american-metals,"word_count_out_of_range:149"
3857,kinder-scrap,"word_count_out_of_range:148"
3889,borfield-enterprises,"wrong_county:Baptist_vs_St. John the Baptist"
3907,jlg-junk-car-buyers,"wrong_county:Baton Rouge Parish_vs_East Baton Rouge Parish"
4232,maximum-recycling,"word_count_out_of_range:149"
4295,plenty-maurice-morry,"word_count_out_of_range:146"
4404,marcoes-recycling,"wrong_county:Lac_vs_Fond du Lac"
4520,fcr-and-s,"word_count_out_of_range:149"
4560,recycling-corp,"word_count_out_of_range:146"
4629,sequatchie-county-scrap,"wrong_county:Sequatchie_vs_DeKalb"
4683,wirehouse,"word_count_out_of_range:146"
4869,genes-helping-hands,"word_count_out_of_range:149"
5082,iron-cores,"wrong_county:Wight_vs_Isle of Wight"
5109,richmond-recycling-inc,"wrong_county:Richmond_vs_City of Richmond"
5121,pocket-money-recycling,"wrong_county:Richmond_vs_City of Richmond"
5249,soave-enterprises,"word_count_out_of_range:146"
5313,west-side-iron-metal,"region:west side"
5626,macon-county-recycling,"wrong_county:Macon_vs_Dooly"
5719,trap-metal-recycling-llc,"word_count_out_of_range:147"
5785,east-side-metals,"region:east side"
5921,west-side-metals-corp,"region:west side"
6002,springfield-recycling,"word_count_out_of_range:149"
6071,multi-serv,"word_count_out_of_range:149"
6189,krevitz-metals,"word_count_out_of_range:149"
6308,we-haul,"word_count_out_of_range:147"
6414,streator-north-side-iron-metal-inc,"region:north side"
6525,goodman-scrap,"word_count_out_of_range:148"
6805,athens-iron-metal,"word_count_out_of_range:146"
6942,certified-recycling,"banned_phrase:\bcertified\b"
7031,daingerfield-metal-iron,"word_count_out_of_range:149"
7293,north-county-metal-recyclers,"wrong_county:North_vs_Indian River"
7543,tri-county-scrap-metals,"wrong_county:Tri_vs_Mendocino"
7569,bobos-scrap-metal,"word_count_out_of_range:149"
7627,green-zone-recycling-center,"word_count_out_of_range:148"
